gdp,gdp_sa
15052.7,17109.7
18205.6,17797.7
17405.9,17907.8
21438.5,19287.5
16974.8,19395.7
20607.8,20027.5
19382.4,20066.2
22741.3,20216.9
17900.2,20507.5
21674.8,21113.6
20608.7,21461.6
25272.8,22374
20174.9,23114
24604.5,24085.3
24372.9,25311.3
29035.8,25677.6
23304.2,26749.7
27269.1,26679.2
26234.9,27095.6
30719.4,27003.2
23805.9,27385.2
29061.6,28674.5
28373.6,29494
34716.8,30404.1
26745,31282.4
33298.5,32786.2
32227.1,33422.3
39018.5,33798.2
29210.4,34136.5
36235.5,35868.3
36593.5,38023.7
45445.5,39456.5
33621.6,39137.1
40978.1,40343.4
40176,41093.5
48863.2,43064.9
38544,44996.8
45718.2,45336.9
43297.4,44082.1
50268.8,43412.6
38624.4,43797.3
44131.8,43561
44290.8,44385.6
47854.9,43158
40088.1,44934
45837.1,46019.4
47772.4,47935.1
53877.9,48687.1
43697.7,49017.5
49821.5,50168.6
51668.2,51209.1
58028.4,52820.6
49699.1,55160.8
56472.8,56864
59963.1,58975.7
64263.3,59397.9
56557.1,62000.3
63361.7,63554.3
65688.5,64420.7
69101.8,64733.8
60797.6,66553.4
67581.3,68156.6
70487.5,68932
75809,71033.5
66339.3,72401.2
74470.3,75222.8
80269.2,78470.3
84709.8,79694.3
76258.2,82253.7
85822,86327.9
88911,87170.2
93704.9,88944.4
88855.4,95796
93021.9,93726.1
98341,96674.4
105799.2,99820.8
93280.1,99864
100298.3,101322.6
105160.7,103920.9
114580.9,108212.6
102643.4,109314.8
111261.3,111753.2
116241.4,115366.1
123999.9,117711.8
114343.2,122126.2
124393.3,124155.3
127579.9,126818.8
136777.6,129993.8
124223.3,132308.2
133976.8,133236.6
133823.3,133326.7
142255.7,135407.5
130454,138103
142664.3,141645.8
144405.6,144257.3
153500.1,147017.9
143155.8,151306.2
154928.2,153774.9
156472.6,156361.7
169393.6,162507.4
156877.7,165904.6
170434.5,169258.9
173299.7,172772.5
183328.4,176004.3
169643.1,179362.7
184170.7,182986.1
186973.7,186204.7
197120.5,189354.5
179873.5,190240.8
198253.7,196995.4
199804.5,198555.1
205509.4,197649.7
174597.8,184173.9
184021.8,182685.9
187002.3,185877.7
197632.9,190517.3
186867.2,196298.8
206407.9,204902.9
210992.1,210601.6
224216.1,216680.1
210585.8,220786.3
225287.6,223728.3
230172.3,229891.1
237505.2,229145.2
221365.2,231953.5
236420,234966.3
238124.7,238138.8
251484.9,242336.2
237385.4,248502.4
254479.2,253005.6
257558,258120.9
271159.8,260953.4
247351.6,259233.3
260380.1,258833.7
262915.2,263836.1
282056.2,270800
261589.1,274198
277912.9,276291.5
276493,277412.1
291421.2,279514.7
269327,281893.1
288655.8,287212.6
290326.6,291536.1
306820.2,294487.8
286486.3,299314.8
302612.7,301501.6
305159.9,306367.7
321680.6,308755.4
300605.5,313924.1
320445.5,319355.9
321816.9,323104.6
343590.6,330073.8
318145.9,331402
334568.8,333136.8
334821,335854.8
337683.6,324825.7
312308.6,325118
330539.3,329451.1
337801.4,339310.5
355075,341844.7
335204.8,348541.7
356501.1,355163.3
357293.6,359266.2
377618.5,363646.8
353395.6,367040.1
370111.5,368841.5
368304.3,370782.8
387387,372534
361724.2,375799.3
379044.2,377917.1
376867.9,379552.7
397100.3,381467.5
370014,384831
390130.2,389358.3
390031.2,392697.2
412498.2,395787.2
383939.7,399560.7
403578.9,402957.7
401978.7,404195.7
423220.2,406003.3
393340.9,409483.1
411511.3,411150.7
415415.8,417190.5
437752.4,420196
404410.5,421397.6
426425.2,426146
426949.3,428036
449095.3,431300.7
416959.4,434823.2
438108.4,437831.1
443682.1,444245.2
462061.6,443912.1
429666.4,448645.4
451781.6,451406.9
454166.9,454011.9
476390.4,457941.1
437193.3,456385.5
461251.3,461013.9
463085.9,462744.8
487427.9,468814.3
443200.4,462805.5
448714.8,448209.3
457856,457783.7
480808.9,463395
